iran-12-day-war	2025-11-18-nuclear-war-vault-7-mossad-in-iran	17:03	Every U.S. president from George H. W. Bush onward was asked by Israel to bomb Iran and every one refused, on the assessment that a strike would begin a third world war by drawing in China or Russia.	every single president said no we're not bombing Iran
trump-glorification-and-the-iran-war	2025-11-18-nuclear-war-vault-7-mossad-in-iran	18:38	Trump's decision to strike Iran's deep bunkers followed an Israeli threat, never made before, to use nuclear weapons if the United States would not do it; on that reading the strike averted rather than started a wider war.	if you don't bomb Iran to take out these deep bunkers we're going to use nuclear weapons
israeli-nuclear-program	2025-11-18-nuclear-war-vault-7-mossad-in-iran	19:08	The Israeli ultimatum amounted to an admission to the U.S. president that Israel possesses nuclear weapons, which Israel has never publicly acknowledged and which leaves it outside the non-proliferation regime.	they just admitted to the president of the United States that they have nuclear weapons
israeli-nuclear-program	2025-11-18-nuclear-war-vault-7-mossad-in-iran	19:41	Israel began work on nuclear weapons in the 1950s and had them by the late 1960s or early 1970s if Israeli nuclear whistleblowers are to be believed, and Mordechai Vanunu was not charged with treason for nothing.	he wasn't charged for treason for nothing
israeli-nuclear-program	2025-11-18-nuclear-war-vault-7-mossad-in-iran	23:23	The CIA Publications Review Board removed only three words from a retired officer's manuscript, "Israeli nuclear program", despite the United States having classified nothing about it, which he characterises as improper classification the officer chose not to fight.	they only took out three words Israeli nuclear program
israeli-nuclear-program	2025-11-18-nuclear-war-vault-7-mossad-in-iran	24:24	There are credible reports that the apartheid regime in South Africa had nuclear weapons and gave them to Israel when it fell, a question he says goes undiscussed; the South African government of the period was one of the few reliable pro-Israel votes at the United Nations.	when the apartheid regime fell in South Africa they had nukes and they gave them to the Israelis
piers-morgan	2025-11-18-nuclear-war-vault-7-mossad-in-iran	21:16	Pressed on Piers Morgan's programme about whether Israel spies on the United States, retired Mossad officer Danny Ayalon laughed and answered only that his position is whatever the prime minister's position is; asked separately whether Israel has nuclear weapons, he gave the same answer.	my position is whatever the prime minister's position is
alan-dershowitz	2025-11-18-nuclear-war-vault-7-mossad-in-iran	20:42	Alan Dershowitz is described as kind and generous in person but irrational on Israel, treating nothing Israel does as wrong and interrupting any potential criticism until the other speaker gives up.	there's literally nothing that the Israelis can do that's wrong
israeli-intelligence-in-united-states	2025-11-18-nuclear-war-vault-7-mossad-in-iran	21:16	Israel is prolific in its espionage inside the United States, particularly against American defence contractors.	they're prolific in their espionage work in the United States especially as it relates to American defense contractors
israel-iran-cell-phone-assassinations	2025-11-18-nuclear-war-vault-7-mossad-in-iran	16:01	After Israel tracked and killed Iranian commanders through their mobile phones, Iran barred generals and nuclear scientists from carrying them, but never extended the ban to their bodyguards, whose phones the Israelis then targeted instead.	they realized that the Iranians never told the bodyguards that they can't carry cell phones
israel-iran-cell-phone-assassinations	2025-11-18-nuclear-war-vault-7-mossad-in-iran	11:22	Israel recruited among the hundreds of thousands of undocumented Afghan refugees in Iran, who receive no citizenship, medical care, food aid or welfare, paying them roughly $100 to stand on a corner and report when a named general drove past.	here's $100 they recruited thousands of these guys
israel-iran-cell-phone-assassinations	2025-11-18-nuclear-war-vault-7-mossad-in-iran	12:23	The Afghan recruitments are described as textbook cold pitches any new case officer could run, made easy because the targets are desperate, bear no loyalty to Iran and need not be told their recruiters are Israeli.	you're cold pitching someone who's so desperate that they'll do anything
israel-iran-cell-phone-assassinations	2025-11-18-nuclear-war-vault-7-mossad-in-iran	15:30	Recruited Afghans were escalated from street spotting into household positions as a chaiwala or driver in generals' homes, from which they could obtain the general's mobile number.	then you get the general's cell phone number
mossad	2025-11-18-nuclear-war-vault-7-mossad-in-iran	15:00	Almost none of the agents Israel runs inside Iran are native Israelis; they are more likely Iranians recruited abroad, and best of all for Israel, Iranian Jews who emigrated and can be sent back.	I would suspect that almost none of them are native Israelis
iran-2024-drone-retaliation	2025-11-18-nuclear-war-vault-7-mossad-in-iran	09:51	Iran's declared policy of "strategic patience" meant not striking back after the first Israeli attack and answering the second with slow-moving drones whose launch it announced to Israel in advance.	the Iranians actually warned the Israelis in advance we're sending drones
iran-2024-drone-retaliation	2025-11-18-nuclear-war-vault-7-mossad-in-iran	10:21	Almost all of the Iranian drones were shot down but roughly seven got through, which he treats as evidence that the Iron Dome is imperfect even against slow targets.	something like seven got through
iran-nuclear-assessment	2025-11-18-nuclear-war-vault-7-mossad-in-iran	1:38:21	The Israeli attacks have forced Iran towards building a nuclear weapon it previously lacked the weapons-grade uranium and the delivery system to field, because continued bombing, assassination and infiltration make the threat existential and a deterrent the only available answer.	these Israeli attacks on Iran have now forced the Iranians to develop a nuclear weapon
hezbollah	2025-11-18-nuclear-war-vault-7-mossad-in-iran	10:52	Israeli policy is to strike a target regardless of proportionality, taking out an entire city block and killing 2,000 people to reach one man, which is why Hezbollah for all intents and purposes no longer exists.	they'll take the entire city block out and kill 2,000 people if they think they can get you
benjamin-netanyahu	2025-11-18-nuclear-war-vault-7-mossad-in-iran	53:12	Netanyahu seized control of the judiciary five weeks before 7 October 2023, provoking demonstrations in Tel Aviv and Haifa unprecedented in scale and bringing Israel close to civil war and himself close to being forced into new elections.	he was this close to being overthrown and having to call new elections
bezalel-smotrich	2025-11-18-nuclear-war-vault-7-mossad-in-iran	27:29	The finance minister, who also holds jurisdiction over the West Bank, and the national security minister both carry felony convictions for anti-Muslim hate crimes, which he treats as disqualifying them from any durable peace.	they both have felony convictions for anti-Muslim hate crimes
itamar-ben-gvir	2025-11-18-nuclear-war-vault-7-mossad-in-iran	27:29	Itamar Ben-Gvir holds the national security portfolio despite a felony hate-crime conviction, and is placed in charge of Palestinians alongside the finance minister.	and they're in charge of the Palestinians
NEW:chas-freeman-gaza-plan-1991	2025-11-18-nuclear-war-vault-7-mossad-in-iran	29:03	As a first-tour officer in Saudi Arabia in 1991 he watched Ambassador Chas Freeman float to the Saudis the idea that they fund a port, an airport, a desalination plant and an electrical grid in Gaza; the Saudis agreed and the Israelis refused outright.	we went to the Israelis and the Israelis said absolutely never
NEW:chas-freeman-gaza-plan-1991	2025-11-18-nuclear-war-vault-7-mossad-in-iran	28:31	The proposal now circulating in the Israeli press, that Israel retain formal ownership of Gaza while Saudi Arabia administers daily life and invests in infrastructure, is the same plan floated in 1991.	that was 1991
NEW:chas-freeman-gaza-plan-1991	2025-11-18-nuclear-war-vault-7-mossad-in-iran	29:35	Before 7 October Gaza had about five hours of water a day and a few hours of electricity before Israel shut each off, a situation he calls untenable and certain to produce another 7 October without a pressure-release valve.	they only had but 5 hours of water every day
st-porphyrios-church-gaza	2025-11-18-nuclear-war-vault-7-mossad-in-iran	52:11	Historic Palestine was about 10 percent Christian and is now nearer two or three percent, with most of those Christians having moved to the United States.	Palestine used to be 10% Christian it's now more like two or 3% Christian
christian-zionism	2025-11-18-nuclear-war-vault-7-mossad-in-iran	52:41	American evangelical support for the Israeli government has produced the ethnic cleansing and destruction of Christian communities in historic Palestine, which he frames as Christian Zionists destroying the faith they claim to defend.	are you trying to save Christianity or are you trying to destroy Christianity
abraham-accords	2025-11-18-nuclear-war-vault-7-mossad-in-iran	39:37	The Abraham Accords have been popular across the Middle East in part because Arab governments do not greatly care about the Palestinians; Kazakhstan joined in the week before the interview and Saudi Arabia is the expected crown jewel.	the crown jewel is going to be Saudi Arabia
